SampleID,Tissue,Factor,Condition,bamReads,ControlID,bamControl,PeakCaller,Peaks
vl0029,RA,H3K27ac,AF-RA,vl0029_20M.bam,vl0037,vl0037_20M.bam,narrow,25_AF_RA_peaks.narrowPeak
vl0214,RA,H3K27ac,AF-RA,vl0214_filtered_dupremoved_20M.bam,vl0339,vl0339_filtered_dupremoved.bam,narrow,2231_AF_RA_peaks.narrowPeak
vl0258,RA,H3K27ac,AF-RA,vl0258_20M.bam,vl0264,vl0264_20M.bam,narrow,31_AF_RA_peaks.narrowPeak
vl0260,RA,H3K27ac,AF-RA,vl0260_20M.bam,vl0266,vl0266_20M.bam,narrow,313_AF_RA_peaks.narrowPeak
vl0326,RA,H3K27ac,AF-RA,vl0326_filtered_dupremoved.bam,vl0333,vl0333_filtered_dupremoved.bam,narrow,18_AF_RA_peaks.narrowPeak
vl0033,RA,H3K27ac,AF-RA,vl0033_20M.bam,vl0041,vl0041_20M.bam,narrow,28_AF_RA_peaks.narrowPeak
vl0027,RA,H3K27ac,SR-RA,vl0027_20M.bam,vl0035,vl0035_20M.bam,narrow,12b_SR_RA_peaks.narrowPeak
vl0031,RA,H3K27ac,SR-RA,vl0031_20M.bam,vl0039,vl0039_20M.bam,narrow,27_SR_RA_peaks.narrowPeak
vl0218,RA,H3K27ac,SR-RA,vl0218_20M.bam,vl0234,vl0234_20M_sorted.bam,narrow,33_SR_RA_peaks.narrowPeak
vl0261,RA,H3K27ac,SR-RA,vl0261_filtered_dupremoved.bam,vl0267,vl0267_filtered_dupremoved.bam,narrow,20_SR_RA_peaks.narrowPeak
vl0028,LA,H3K27ac,AF-LA,vl0028_20M.bam,vl0036,vl0036_20M.bam,narrow,25_AF_LA_peaks.narrowPeak
vl0032,LA,H3K27ac,AF-LA,vl0032_20M.bam,vl0040,vl0040_20M.bam,narrow,28_AF_LA_peaks.narrowPeak
vl0212,LA,H3K27ac,AF-LA,vl0212_20M.bam,vl0228,vl0228_20M.bam,narrow,47_AF_LA_peaks.narrowPeak
vl0215,LA,H3K27ac,AF-LA,vl0215_20M_sorted.bam,vl0231,vl0231_20M.bam,narrow,31_AF_LA_peaks.narrowPeak
vl0256,LA,H3K27ac,AF-LA,vl0256_20M.bam,vl0262,vl0262_20M.bam,narrow,2231_AF_LA_peaks.narrowPeak
vl0257,LA,H3K27ac,AF-LA,vl0257_20M.bam,vl0263,vl0263_20M_sorted.bam,narrow,313_AF_LA_peaks.narrowPeak
vl0026,LA,H3K27ac,SR-LA,vl0026_20M.bam,vl0034,vl0334_filtered_dupremoved.bam,narrow,12b_SR_LA_peaks.narrowPeak
vl0213,LA,H3K27ac,SR-LA,vl0213_20M_sorted.bam,vl0229,vl0229_20M.bam,narrow,45_SR_LA_peaks.narrowPeak
vl0217,LA,H3K27ac,SR-LA,vl0217_filtered_dupremoved_20M.bam,vl0340,vl0340_filtered_dupremoved.bam,narrow,20_SR_LA_peaks.narrowPeak
vl0328,LA,H3K27ac,SR-LA,vl0328_filtered_dupremoved.bam,vl0335,vl0335_filtered_dupremoved.bam,narrow,27_SR_LA_peaks.narrowPeak